uid,title,journal,issue,volume,pages,date,year,authors,keywords,doi,article_no,isi_id,issn,isbn,environment,category
WOS:000477140800001,Comparison of the hydrolysis characteristics of three polyphosphates and their effects on soil phosphorus and micronutrient availability,SOIL USE AND MANAGEMENT,NA,NA,,JUL 22,2019,"Wang, Xuewei | Gao, Yanju | Hu, Baowei | Chu, Guixin",ammonium polyphosphate | hydrolysis | micronutrient availability | soil pH | temperature,10.1111/sum.12526,NA,IL2OW,0266-0032,NA,agriculture,agriculture
WOS:000288853400039,Role of the Morphology and Polyphosphate in Trichoderma harzianum Related to Cadmium Removal,MOLECULES,3,16,2486-2500,MAR,2011,"Lima, Adriana de Freitas | de Moura, Gabrielle Ferreira | Barbosa de Lima, Marcos Antonio | de Souza, Patricia Mendes | Alves da Silva, Carlos Alberto | de Campos Takaki, Galba Maria | do Nascimento, Aline Elesbao",polyphosphate | Trichoderma harzianum | cadmium | morphology | ultrastructure,10.3390/molecules16032486,NA,741GY,1420-3049,NA,agriculture,agriculture
WOS:000375899200001,"Deciphering the relationship among phosphate dynamics, electron-dense body and lipid accumulation in the green alga Parachlorella kessleri",SCIENTIFIC REPORTS,NA,6,,MAY 16,2016,"Ota, Shuhei | Yoshihara, Mai | Yamazaki, Tomokazu | Takeshita, Tsuyoshi | Hirata, Aiko | Konomi, Mami | Oshima, Kenshiro | Hattori, Masahira | Bisova, Katerina | Zachleder, Vilem | Kawano, Shigeyuki",,10.1038/srep25731,NA,DL8NR,2045-2322,NA,agriculture,agriculture
WOS:000440513900007,"Granular, Slow-Release Fertilizer from Urea-formaldehyde, Ammonium Polyphosphate, and Amorphous Silica Gel: A New Strategy Using Cold Extrusion",JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,29,66,7606-7615,JUL 25,2018,"Xiang, Yang | Ru, Xudong | Shi, Jinguo | Song, Jiang | Zhao, Haidong | Liu, Yaqing | Zhao, Guizhe",granular | slow-release fertilizer | urea-formaldehyde | ammonium polyphosphate | amorphous silica gel | cold extrusion,10.1021/acs.jafc.8b02349,NA,GP0PZ,0021-8561,NA,agriculture,agriculture
WOS:000366994200001,Phosphorus Recycling from an Unexplored Source by Polyphosphate Accumulating Microalgae and Cyanobacteria-A Step to Phosphorus Security in Agriculture,FRONTIERS IN MICROBIOLOGY,NA,6,,DEC 22,2015,"Mukherjee, Chandan | Chowdhury, Rajojit | Ray, Krishna",global food security | parboiled rice mill effluent | phosphorus pollution | microalgae and cyanobacteria | polyphosphates | phosphorus biofertilizers | phosphorus scarcity,10.5389/fmicb.2015.01421,NA,CZ3HE,1664-302X,NA,agriculture,agriculture
WOS:000288313200020,Antimicrobial Effect of Ammonium Hydroxide when Used as an Alkaline Agent in the Formulation of Injection Brine Solutions,JOURNAL OF FOOD PROTECTION,3,74,475-479,MAR,2011,"Cerruto-Noya, C. A. | Goad, C. L. | DeWitt, C. A. Mireles",,10.4315/0362-028X.JFP-10-343,NA,734DK,0362-028X,NA,agriculture,agriculture
WOS:000169628100009,Molecular and cellular mechanisms of heavy metal tolerance in mycorrhizal fungi: what perspectives for bioremediation?,MINERVA BIOTECNOLOGICA,1,13,55-63,MAR,2001,"Perotto, S | Martino, E","mycorrhizal fungi | bioremediation | soil pollution | metals, heavy, toxicity | soil microbiology | symbiosis",NA,NA,448LJ,1120-4826,NA,agriculture,agriculture
WOS:000358102800001,Maize in-Season Growth Response to Organic Acid-Bonded Phosphorus Fertilizer (Carbond P (R)),JOURNAL OF PLANT NUTRITION,9,38,1398-1415,JUL 29,2015,"Hill, Micheal W. | Hopkins, Bryan G. | Jolley, Von D.",phosphorus | maize | Zea mays | P | Carbond P | fertilizer | phosphorus use efficiency | organic acid | PUE,10.1080/01904167.2014.973040,NA,CN0KP,0190-4167,NA,agriculture,agriculture
WOS:000489307800033,Towards phosphorus recycling for agriculture by algae: Soil incubation and rhizotron studies using P-33-labeled microalgal biomass,ALGAL RESEARCH-BIOMASS BIOFUELS AND BIOPRODUCTS,NA,43,,NOV,2019,"Siebers, Nina | Hofmann, Diana | Schiedung, Henning | Landsrath, Alexander | Ackermann, Baerbel | Gao, Lu | Mojzes, Peter | Jablonowski, Nicolai D. | Nedbal, Ladislav | Amelung, Wulf",Chlorella vulgaris | Sequential P fractionation | Autoradiography | Wheat | P-33 labeling,10.1016/j.algal.2019.101634,NA,JC5FZ,2211-9264,NA,agriculture,agriculture
WOS:000315473000005,Impact of long-term nitrogen fertilization and rotation with soybean on the diversity and phosphorus metabolism of indigenous arbuscular mycorrhizal fungi within the roots of maize (Zea mays L.),AGRICULTURE ECOSYSTEMS & ENVIRONMENT,NA,164,53-61,JAN 1,2013,"Tian, H. | Drijber, R. A. | Zhang, J. L. | Li, X. L.",Arbuscular mycorrhizal fungi | Agriculture | Maize | Crop rotation | Arbuscular mycorrhizal diversity | N fertilizer,10.1016/j.agee.2012.09.007,NA,097KM,0167-8809,NA,agriculture,agriculture
WOS:000422739300100,Phytase overexpression in Arabidopsis improves plant growth under osmotic stress and in combination with phosphate deficiency,SCIENTIFIC REPORTS,NA,8,,JAN 18,2018,"Belgaroui, Nibras | Lacombe, Benoit | Rouached, Hatem | Hanin, Moez",,10.1038/s41598-018-19493-w,NA,FS9LI,2045-2322,NA,agriculture,agriculture
WOS:000388580200045,Characteristics of phosphorus components in the sediments of main rivers into the Bohai Sea,ECOLOGICAL ENGINEERING,NA,97,426-433,DEC,2016,Shan Baoqing | Li Jie | Zhang Wenqiang | Di Zhenzhen | Jin Xin,Phosphorus | Sediments | Rivers | Solution P-31-NMR | SMT | Bohai Sea,10.1016/j.ecoleng.2016.10.042,NA,ED1CA,0925-8574,NA,agriculture,agriculture
WOS:000177132200010,Molecular genetic analysis of cold-regulated gene transcription,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY OF LONDON SERIES B-BIOLOGICAL SCIENCES,1423,357,877-886,JUL 29,2002,"Viswanathan, C | Zhu, JK",low temperature | signalling | CRT/DRE | abscisic acid-responsive element | FRY1 | HOS1,10.1098/rstb.2002.1076,NA,578RF,0962-8436,NA,agriculture,agriculture
WOS:000235949200003,"Changes in P bioavailability induced by the application of liquid and powder sources of P, N and Zn fertilizers in alkaline soils",NUTRIENT CYCLING IN AGROECOSYSTEMS,1,74,27-40,JAN,2006,"Bertrand, I | McLaughlin, M | Holloway, R | Armstrong, R | McBeath, T",alkaline soils | fertilizer efficiency | liquid | phosphorus | wheat,10.1007/s10705-005-4404-3,NA,020YL,1385-1314,NA,agriculture,agriculture
