keyword,environment,category,count
phos,all,all,184042
phos,wwt,wwt,9774
phos,soil,terrestrial,39481
phos,sediment,terrestrial,12595
phos,lake,freshwater,13421
phos,stream,freshwater,5572
phos,river,freshwater,10190
phos,freshwater,freshwater,6922
phos,marine,marine,4949
phos,ocean,marine,2419
phos,saltwater,marine,1988
phos,agriculture,agriculture,4429
microbio,all,all,25405
microbio,wwt,wwt,317
microbio,soil,terrestrial,1139
microbio,sediment,terrestrial,445
microbio,lake,freshwater,189
microbio,stream,freshwater,521
microbio,river,freshwater,187
microbio,freshwater,freshwater,265
microbio,marine,marine,488
microbio,ocean,marine,166
microbio,saltwater,marine,103
microbio,agriculture,agriculture,221
polyp,all,all,9230
polyp,wwt,wwt,930
polyp,soil,terrestrial,290
polyp,sediment,terrestrial,169
polyp,lake,freshwater,159
polyp,stream,freshwater,62
polyp,river,freshwater,44
polyp,freshwater,freshwater,102
polyp,marine,marine,138
polyp,ocean,marine,34
polyp,saltwater,marine,96
polyp,agriculture,agriculture,14
pao,all,all,797
pao,wwt,wwt,655
pao,soil,terrestrial,18
pao,sediment,terrestrial,11
pao,lake,freshwater,11
pao,stream,freshwater,25
pao,river,freshwater,3
pao,freshwater,freshwater,13
pao,marine,marine,6
pao,ocean,marine,2
pao,saltwater,marine,7
pao,agriculture,agriculture,1